Month,Passengers,Passengers_Mean_Imputation,Passengers_Mean_Interpolation,sma_forecast
01-02-49,118,118,118,
01-03-49,132,132,132,
01-04-49,129,129,129,
01-05-49,121,121,121,
01-06-49,135,135,135,
01-07-49,148,148,148,
01-08-49,148,148,148,
01-09-49,136,136,136,
01-10-49,119,119,119,
01-11-49,104,104,104,
01-12-49,118,118,118,
01-01-50,115,115,115,126.92
01-02-50,126,126,126,127.58
01-03-50,141,141,141,128.33
01-04-50,135,135,135,128.83
01-05-50,125,125,125,129.17
01-06-50,149,149,149,130.33
01-07-50,170,170,170,132.17
01-08-50,170,170,170,134
01-09-50,158,158,158,135.83
01-10-50,133,133,133,137
01-11-50,114,114,114,137.83
01-12-50,140,140,140,139.67
01-01-51,145,145,145,142.17
01-02-51,150,150,150,144.17
01-03-51,178,178,178,147.25
01-04-51,163,163,163,149.58
01-05-51,172,172,172,153.5
01-06-51,181,281.9496403,181,156.17
01-07-51,190,281.9496403,190,157.83
01-08-51,199,199,199,160.25
01-09-51,184,184,184,162.42
01-10-51,162,162,162,164.83
01-11-51,146,146,146,167.5
01-12-51,166,166,166,169.67
01-01-52,171,171,171,171.83
01-02-52,180,180,180,174.33
01-03-52,193,193,193,175.58
01-04-52,181,181,181,177.08
01-05-52,183,183,183,178
01-06-52,218,218,218,181.08
01-07-52,230,230,230,184.42
01-08-52,242,242,242,188
01-09-52,209,209,209,190.08
01-10-52,191,191,191,192.5
01-11-52,172,172,172,194.67
01-12-52,194,194,194,197
01-01-53,196,196,196,199.08
01-02-53,196,196,196,200.42
01-03-53,236,236,236,204
01-04-53,235,235,235,208.5
01-05-53,229,229,229,212.33
01-06-53,243,243,243,214.42
01-07-53,264,264,264,217.25
01-08-53,272,272,272,219.75
01-09-53,237,237,237,222.08
01-10-53,211,211,211,223.75
01-11-53,180,180,180,224.42
01-12-53,201,201,201,225
01-01-54,204,204,204,225.67
01-02-54,188,188,188,225
01-03-54,235,235,235,224.92
01-04-54,227,227,227,224.25
01-05-54,234,234,234,224.67
01-06-54,268,281.9496403,268,226.75
01-07-54,302,302,302,229.92
01-08-54,293,293,293,231.67
01-09-54,259,259,259,233.5
01-10-54,229,229,229,235
01-11-54,203,203,203,236.92
01-12-54,229,229,229,239.25
01-01-55,242,242,242,242.42
01-02-55,233,233,233,246.17
01-03-55,267,267,267,248.83
01-04-55,269,269,269,252.33
01-05-55,270,270,270,255.33
01-06-55,315,315,315,259.25
01-07-55,364,364,364,264.42
01-08-55,347,347,347,268.92
01-09-55,312,312,312,273.33
01-10-55,274,274,274,277.08
01-11-55,237,237,237,279.92
01-12-55,278,278,278,284
01-01-56,284,284,284,287.5
01-02-56,277,277,277,291.17
01-03-56,317,317,317,295.33
01-04-56,313,313,313,299
01-05-56,318,318,318,303
01-06-56,374,374,374,307.92
01-07-56,413,413,413,312
01-08-56,405,405,405,316.83
01-09-56,355,355,355,320.42
01-10-56,306,306,306,323.08
01-11-56,271,271,271,325.92
01-12-56,306,306,306,328.25
01-01-57,315,315,315,330.83
01-02-57,301,301,301,332.83
01-03-57,356,356,356,336.08
01-04-57,348,348,348,339
01-05-57,355,355,355,342.08
01-06-57,422,422,422,346.08
01-07-57,465,465,465,350.42
01-08-57,467,467,467,355.58
01-09-57,404,404,404,359.67
01-10-57,347,347,347,363.08
01-11-57,305,305,305,365.92
01-12-57,336,336,336,368.42
01-01-58,340,340,340,370.5
01-02-58,318,318,318,371.92
01-03-58,362,362,362,372.42
01-04-58,348,348,348,372.42
01-05-58,363,363,363,373.08
01-06-58,435,435,435,374.17
01-07-58,491,491,491,376.33
01-08-58,505,505,505,379.5
01-09-58,404,404,404,379.5
01-10-58,359,359,359,380.5
01-11-58,310,310,310,380.92
01-12-58,337,337,337,381
01-01-59,360,360,360,382.67
01-02-59,342,342,342,382.67
01-03-59,406,406,406,382.67
01-04-59,396,396,396,382.67
01-05-59,420,420,420,382.67
01-06-59,472,472,472,382.67
01-07-59,548,548,548,382.67
01-08-59,559,559,559,382.67
01-09-59,463,463,463,382.67
01-10-59,407,407,407,382.67
01-11-59,362,362,362,382.67
01-12-59,405,405,405,382.67
01-01-60,417,417,417,382.67
01-02-60,391,391,391,382.67
01-03-60,426,281.9496403,426,382.67
01-04-60,461,461,461,382.67
01-05-60,472,472,472,382.67
01-06-60,535,535,535,382.67
01-07-60,622,622,622,382.67
01-08-60,606,606,606,382.67
01-09-60,508,508,508,382.67
01-10-60,461,461,461,382.67
01-11-60,390,390,390,382.67
01-12-60,432,432,432,382.67
