Month,Travellers,Last_Fill_Travellers
1991-01-01,1724.0,1724.0
1991-02-01,1638.0,1638.0
1991-03-01,1987.0,1987.0
1991-04-01,1825.0,1825.0
1991-05-01,,1852.0
1991-06-01,1879.0,1879.0
1991-07-01,1957.0,1957.0
1991-08-01,2027.0,2027.0
1991-09-01,1609.0,1609.0
1991-10-01,1740.0,1740.0
1991-11-01,1689.0,1689.0
1991-12-01,1831.0,1831.0
1992-01-01,,1702.5
1992-02-01,1574.0,1574.0
1992-03-01,1908.0,1908.0
1992-04-01,1973.0,1973.0
1992-05-01,,1805.0
1992-06-01,1637.0,1637.0
1992-07-01,1919.0,1919.0
1992-08-01,2011.0,2011.0
1992-09-01,1720.0,1720.0
1992-10-01,1824.0,1824.0
1992-11-01,1875.0,1875.0
1992-12-01,1890.0,1890.0
1993-01-01,1720.0,1720.0
1993-02-01,1632.0,1632.0
1993-03-01,,1803.0
1993-04-01,1974.0,1974.0
1993-05-01,1932.0,1932.0
1993-06-01,1895.0,1895.0
1993-07-01,1949.0,1949.0
1993-08-01,,1819.5
1993-09-01,1690.0,1690.0
1993-10-01,1770.0,1770.0
1993-11-01,1733.0,1733.0
1993-12-01,1748.0,1748.0
1994-01-01,1575.0,1575.0
1994-02-01,1590.0,1590.0
1994-03-01,1920.0,1920.0
1994-04-01,1850.0,1850.0
1994-05-01,1845.0,1845.0
1994-06-01,1791.0,1791.0
1994-07-01,1883.0,1883.0
1994-08-01,1922.0,1922.0
1994-09-01,1703.0,1703.0
1994-10-01,1791.0,1791.0
1994-11-01,1791.0,1791.0
1994-12-01,1797.0,1797.0
1995-01-01,1560.0,1560.0
1995-02-01,1510.0,1510.0
1995-03-01,1813.0,1813.0
1995-04-01,1747.0,1747.0
1995-05-01,1785.0,1785.0
1995-06-01,1777.0,1777.0
1995-07-01,1805.0,1805.0
1995-08-01,1887.0,1887.0
1995-09-01,1583.0,1583.0
1995-10-01,1664.0,1664.0
1995-11-01,1688.0,1688.0
1995-12-01,1671.0,1671.0
1996-01-01,1399.0,1399.0
1996-02-01,1376.0,1376.0
1996-03-01,1573.0,1573.0
1996-04-01,1620.0,1620.0
1996-05-01,1710.0,1710.0
1996-06-01,1709.0,1709.0
1996-07-01,1852.0,1852.0
1996-08-01,1959.0,1959.0
1996-09-01,1565.0,1565.0
1996-10-01,1701.0,1701.0
1996-11-01,1588.0,1588.0
1996-12-01,1713.0,1713.0
1997-01-01,1412.0,1412.0
1997-02-01,,1566.5
1997-03-01,1721.0,1721.0
1997-04-01,1667.0,1667.0
1997-05-01,1780.0,1780.0
1997-06-01,1788.0,1788.0
1997-07-01,1951.0,1951.0
1997-08-01,2021.0,2021.0
1997-09-01,,1905.5
1997-10-01,1790.0,1790.0
1997-11-01,1749.0,1749.0
1997-12-01,1810.0,1810.0
1998-01-01,1583.0,1583.0
1998-02-01,1425.0,1425.0
1998-03-01,1767.0,1767.0
1998-04-01,1842.0,1842.0
1998-05-01,1855.0,1855.0
1998-06-01,1838.0,1838.0
1998-07-01,1985.0,1985.0
1998-08-01,1938.0,1938.0
1998-09-01,1685.0,1685.0
1998-10-01,1803.0,1803.0
1998-11-01,1829.0,1829.0
1998-12-01,1861.0,1861.0
1999-01-01,,1711.5
1999-02-01,1562.0,1562.0
1999-03-01,1848.0,1848.0
1999-04-01,1854.0,1854.0
1999-05-01,1858.0,1858.0
1999-06-01,1877.0,1877.0
1999-07-01,1983.0,1983.0
1999-08-01,1965.0,1965.0
1999-09-01,1622.0,1622.0
1999-10-01,,1743.0
1999-11-01,1864.0,1864.0
1999-12-01,1851.0,1851.0
2000-01-01,1559.0,1559.0
2000-02-01,1629.0,1629.0
2000-03-01,1932.0,1932.0
2000-04-01,1988.0,1988.0
2000-05-01,2004.0,2004.0
2000-06-01,2025.0,2025.0
2000-07-01,2066.0,2066.0
2000-08-01,2110.0,2110.0
2000-09-01,1839.0,1839.0
2000-10-01,1992.0,1992.0
2000-11-01,1996.0,1996.0
2000-12-01,2015.0,2015.0
2001-01-01,1696.0,1696.0
2001-02-01,1675.0,1675.0
2001-03-01,2022.0,2022.0
2001-04-01,2036.0,2036.0
2001-05-01,2060.0,2060.0
2001-06-01,2087.0,2087.0
2001-07-01,2141.0,2141.0
2001-08-01,2220.0,2220.0
2001-09-01,1720.0,1720.0
2001-10-01,1967.0,1967.0
2001-11-01,1991.0,1991.0
2001-12-01,2001.0,2001.0
2002-01-01,1777.0,1777.0
2002-02-01,1786.0,1786.0
2002-03-01,2032.0,2032.0
2002-04-01,,2059.0
2002-05-01,2086.0,2086.0
2002-06-01,2011.0,2011.0
2002-07-01,2089.0,2089.0
2002-08-01,2044.0,2044.0
2002-09-01,1746.0,1746.0
2002-10-01,1930.0,1930.0
2002-11-01,1874.0,1874.0
2002-12-01,2010.0,2010.0
2003-01-01,1794.0,1794.0
2003-02-01,1762.0,1762.0
2003-03-01,2082.0,2082.0
2003-04-01,2116.0,2116.0
2003-05-01,2121.0,2121.0
2003-06-01,2144.0,2144.0
2003-07-01,2236.0,2236.0
2003-08-01,,2089.5
2003-09-01,1943.0,1943.0
2003-10-01,2135.0,2135.0
2003-11-01,2091.0,2091.0
2003-12-01,2155.0,2155.0
2004-01-01,1848.0,1848.0
2004-02-01,1852.0,1852.0
2004-03-01,2145.0,2145.0
